event_id,date_of_event,country,Place,Orchestra,program,conductor
40,1922-07-22,Brazil,Rio de Janeiro,Vienna Philharmonic,Deb La cour de lys,Felix von Weingartner
40,1922-07-22,Brazil,Rio de Janeiro,Vienna Philharmonic,Gold 13,Felix von Weingartner
40,1922-07-22,Brazil,Rio de Janeiro,Vienna Philharmonic,Lis Préludes,Felix von Weingartner
40,1922-07-22,Brazil,Rio de Janeiro,Vienna Philharmonic,Viv Concerto für Streicher,Felix von Weingartner
41,1922-07-23,Brazil,Rio de Janeiro,Vienna Philharmonic,Berl 14,Felix von Weingartner
41,1922-07-23,Brazil,Rio de Janeiro,Vienna Philharmonic,Schb 759,Felix von Weingartner
41,1922-07-23,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 86d/Trauermarsch,Felix von Weingartner
41,1922-07-23,Brazil,Rio de Janeiro,Vienna Philharmonic,Web 77,Felix von Weingartner
42,1922-07-24,Brazil,Rio de Janeiro,Vienna Philharmonic,Bee 67,Felix von Weingartner
42,1922-07-24,Brazil,Rio de Janeiro,Vienna Philharmonic,Carlos Gomes Ouvertüre Il Guarany,Felix von Weingartner
42,1922-07-24,Brazil,Rio de Janeiro,Vienna Philharmonic,Res Fontane di Roma,Felix von Weingartner
42,1922-07-24,Brazil,Rio de Janeiro,Vienna Philharmonic,Web Ob,Felix von Weingartner
42,1922-07-24,Brazil,Rio de Janeiro,Vienna Philharmonic,Weingartner 60,Felix von Weingartner
43,1922-07-25,Brazil,Rio de Janeiro,Vienna Philharmonic,Bee 72b,Felix von Weingartner
43,1922-07-25,Brazil,Rio de Janeiro,Vienna Philharmonic,Garcia Nunes Präludium und Fuge,Felix von Weingartner
43,1922-07-25,Brazil,Rio de Janeiro,Vienna Philharmonic,Schm 97,Felix von Weingartner
43,1922-07-25,Brazil,Rio de Janeiro,Vienna Philharmonic,Tsch 74,Felix von Weingartner
44,1922-07-26,Brazil,Rio de Janeiro,Vienna Philharmonic,Bee 67,Felix von Weingartner
44,1922-07-26,Brazil,Rio de Janeiro,Vienna Philharmonic,Carlos Gomes Ouvertüre Il Guarany,Felix von Weingartner
44,1922-07-26,Brazil,Rio de Janeiro,Vienna Philharmonic,Hay 92,Felix von Weingartner
44,1922-07-26,Brazil,Rio de Janeiro,Vienna Philharmonic,Res Ballata delle gnomidi,Felix von Weingartner
44,1922-07-26,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 96/1,Felix von Weingartner
45,1922-07-27,Brazil,Rio de Janeiro,Vienna Philharmonic,Biz Arles 1,Felix von Weingartner
45,1922-07-27,Brazil,Rio de Janeiro,Vienna Philharmonic,Henrique Oswald Tempos de uma symphonia,Felix von Weingartner
45,1922-07-27,Brazil,Rio de Janeiro,Vienna Philharmonic,Straw Feu d'artifice,Felix von Weingartner
45,1922-07-27,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 70/1,Felix von Weingartner
45,1922-07-27,Brazil,Rio de Janeiro,Vienna Philharmonic,Weingartner 49,Felix von Weingartner
